2013 Federal Election - Senate Senate BTL Preferences for State NT [Event:17496 Generated:2013-09-25T09:29:07 Created:EasyCountSenate Version:2.0.88.24116 Environment:Production Server:(local)\sqlexpress]
CandidateId,Preference,Batch,Paper,
23498,07,1,13
23503,08,1,13
24958,15,1,13
24962,16,1,13
23300,17,1,13
23353,18,1,13
23588,19,1,13
23589,20,1,13
24726,21,1,13
24731,22,1,13
24888,23,1,13
24892,24,1,13
23959,01,1,13
23962,02,1,13
24499,23,1,14
24500,24,1,14
23793,11,1,14
23797,12,1,14
23375,17,1,14
23423,18,1,14
24015,04,1,14
24020,06,1,14
23513,09,1,14
23514,10,1,14
23498,07,1,14
23503,02,1,14
24958,21,1,14
24962,22,1,14
23300,13,1,14
23353,14,1,14
23588,19,1,14
23589,20,1,14
24726,15,1,14
24731,16,1,14
24888,03,1,14
24892,08,1,14
23959,01,1,14
23962,05,1,14
24499,17,1,15
24500,18,1,15
23793,15,1,15
23797,16,1,15
23375,03,1,15
23423,04,1,15
24015,05,1,15
24020,06,1,15
23513,19,1,15
23514,20,1,15
23498,07,1,15
23503,08,1,15
24958,15,1,15
24962,16,1,15
23300,11,1,15
23353,12,1,15
23588,13,1,15
23589,14,1,15
24726,21,1,15
24731,22,1,15
24888,09,1,15
24892,10,1,15
23959,01,1,15
23962,02,1,15
24499,23,1,16
24500,20,1,16
23793,16,1,16
23797,09,1,16
23375,15,1,16
23423,14,1,16
24015,06,1,16
24020,07,1,16
23513,17,1,16
23514,10,1,16
23498,05,1,16
23503,13,1,16
24958,03,1,16
24962,04,1,16
23300,18,1,16
23353,19,1,16
23588,24,1,16
23589,22,1,16
24726,11,1,16
24731,21,1,16
24888,02,1,16
24892,12,1,16
23959,01,1,16
23962,08,1,16
24499,13,1,17
24500,14,1,17
23793,15,1,17
23797,16,1,17
23375,17,1,17
23423,18,1,17
24015,07,1,17
24020,08,1,17
23513,23,1,17
23514,24,1,17
23498,09,1,17
23503,10,1,17
24958,05,1,17
24962,06,1,17
23300,21,1,17
23353,22,1,17
23588,19,1,17
23589,20,1,17
24726,11,1,17
24731,12,1,17
24888,03,1,17
24892,04,1,17
23959,01,1,17
23962,02,1,17
24499,15,1,18
24500,16,1,18
23793,13,1,18
23797,14,1,18
23375,17,1,18
23423,18,1,18
24015,19,1,18
24020,20,1,18
23513,01,1,18
23514,02,1,18
23498,21,1,18
23503,22,1,18
24958,11,1,18
24962,12,1,18
23300,09,1,18
23353,10,1,18
23588,03,1,18
23589,04,1,18
24726,07,1,18
24731,08,1,18
24888,23,1,18
24892,24,1,18
23959,05,1,18
23962,06,1,18
24499,03,1,19
24500,04,1,19
23793,18,1,19
23797,20,1,19
23375,19,1,19
23423,21,1,19
24015,17,1,19
24020,22,1,19
23513,01,1,19
23514,02,1,19
23498,23,1,19
23503,24,1,19
24958,09,1,19
24962,08,1,19
23300,07,1,19
23353,10,1,19
23588,05,1,19
23589,06,1,19
24726,11,1,19
24731,13,1,19
24888,12,1,19
24892,14,1,19
23959,15,1,19
23962,16,1,19
24499,15,1,20
24500,16,1,20
23793,11,1,20
23797,12,1,20
23375,13,1,20
23423,14,1,20
24015,17,1,20
24020,18,1,20
23513,01,1,20
23514,02,1,20
23498,04,1,20
23503,03,1,20
24958,23,1,20
24962,24,1,20
23300,09,1,20
23353,10,1,20
23588,19,1,20
23589,20,1,20
24726,21,1,20
24731,22,1,20
24888,05,1,20
24892,06,1,20
23959,07,1,20
23962,08,1,20
24499,04,1,21
24500,03,1,21
23793,08,1,21
23797,07,1,21
23375,09,1,21
23423,10,1,21
24015,05,1,21
24020,06,1,21
23513,01,1,21
23514,02,1,21
23498,19,1,21
23503,20,1,21
24958,21,1,21
24962,23,1,21
23300,12,1,21
23353,11,1,21
23588,13,1,21
23589,14,1,21
24726,15,1,21
24731,16,1,21
24888,24,1,21
24892,22,1,21
23959,18,1,21
23962,17,1,21
24499,13,1,22
24500,14,1,22
23793,05,1,22
23797,06,1,22
23375,17,1,22
23423,18,1,22
24015,09,1,22
24020,10,1,22
23513,01,1,22
23514,02,1,22
23498,19,1,22
23503,20,1,22
24958,21,1,22
24962,22,1,22
23300,15,1,22
23353,16,1,22
23588,11,1,22
23589,12,1,22
24726,03,1,22
24731,04,1,22
24888,23,1,22
24892,24,1,22
23959,07,1,22
23962,08,1,22
24499,19,1,23
24500,20,1,23
23793,17,1,23
23797,18,1,23
23375,09,1,23
23423,10,1,23
24015,07,1,23
24020,08,1,23
23513,01,1,23
23514,02,1,23
23498,21,1,23
23503,22,1,23
24958,11,1,23
24962,12,1,23
23300,05,1,23
23353,06,1,23
23588,15,1,23
23589,16,1,23
24726,13,1,23
24731,14,1,23
24888,23,1,23
24892,24,1,23
23959,03,1,23
23962,04,1,23
24499,07,1,24
24500,08,1,24
23793,05,1,24
23797,06,1,24
23375,03,1,24
23423,04,1,24
24015,11,1,24
24020,12,1,24
23513,01,1,24
23514,02,1,24
23498,23,1,24
23503,24,1,24
24958,09,1,24
24962,10,1,24
23300,13,1,24
23353,14,1,24
23588,21,1,24
23589,22,1,24
24726,15,1,24
24731,16,1,24
24888,19,1,24
24892,20,1,24
23959,17,1,24
23962,18,1,24
24499,13,1,25
24500,12,1,25
23793,11,1,25
23797,14,1,25
23375,10,1,25
23423,15,1,25
24015,09,1,25
24020,16,1,25
23513,01,1,25
23514,02,1,25
23498,07,1,25
23503,08,1,25
24958,03,1,25
24962,04,1,25
23300,05,1,25
23353,06,1,25
23588,17,1,25
23589,18,1,25
24726,19,1,25
24731,20,1,25
24888,24,1,25
24892,23,1,25
23959,21,1,25
23962,22,1,25
24499,15,1,26
24500,16,1,26
23793,11,1,26
23797,12,1,26
23375,13,1,26
23423,14,1,26
24015,03,1,26
24020,04,1,26
23513,01,1,26
23514,02,1,26
23498,19,1,26
23503,20,1,26
24958,23,1,26
24962,24,1,26
23300,09,1,26
23353,10,1,26
23588,17,1,26
23589,18,1,26
24726,05,1,26
24731,06,1,26
24888,21,1,26
24892,22,1,26
23959,07,1,26
23962,08,1,26
24499,15,1,27
24500,16,1,27
23793,09,1,27
23797,10,1,27
23375,19,1,27
23423,20,1,27
24015,17,1,27
24020,18,1,27
23513,01,1,27
23514,02,1,27
23498,13,1,27
23503,14,1,27
24958,23,1,27
24962,24,1,27
23300,11,1,27
23353,12,1,27
23588,21,1,27
23589,22,1,27
24726,07,1,27
24731,08,1,27
24888,03,1,27
24892,04,1,27
23959,05,1,27
23962,06,1,27
24499,07,1,28
24500,08,1,28
23793,05,1,28
23797,06,1,28
23375,15,1,28
23423,16,1,28
24015,17,1,28
24020,18,1,28
23513,01,1,28
23514,02,1,28
23498,23,1,28
23503,24,1,28
24958,19,1,28
24962,20,1,28
23300,13,1,28
23353,14,1,28
23588,09,1,28
23589,10,1,28
24726,03,1,28
24731,04,1,28
24888,21,1,28
24892,22,1,28
23959,11,1,28
23962,12,1,28
24499,04,1,29
24500,03,1,29
23793,14,1,29
23797,13,1,29
